,centerX,centerY,width_box,height_box,axis,rotation,num_labels
2319,286.0,317.0,110.0,266.0,vertical_axis,0.0,39
14129,411.5,257.5,122.0,350.0,vertical_axis,0.0,9
10856,377.99999818205833,38.00000324845303,55.00000216066832,73.00000040233141,vertical_axis,0.0,5
31641,141.6621425134299,358.5843198945935,62.0,65.0,horizontal_axis,-33.6552696707423,5
33799,287.06691006712293,311.71150232633084,103.00000144541264,235.99999797344208,horizontal_axis,-1.641988969483407,3
25296,376.49999461323046,33.50000994652464,51.000006660818656,63.00000165402882,horizontal_axis,0.0,3
25298,220.00000160932527,423.49999251216695,45.000006929039614,73.00000120699411,vertical_axis,0.0,3
21045,140.0339820352454,357.8263455637165,60.0,80.0,vertical_axis,-31.1444566792524,5
13042,285.61694038758867,291.53056471877125,221.0,97.0,horizontal_axis,88.78520459535572,5
20070,295.0,97.0,72.0,73.0,vertical_axis,0.0,9
15001,291.0,301.0,90.0,73.0,horizontal_axis,-2.246856551376908,3
