,centerX,centerY,width_box,height_box,axis,rotation,num_labels
202,131.0000018626451,127.00000186264516,229.9999995529652,237.9999979436398,vertical_axis,0.0,20
203,388.9999980181456,126.00000187754632,229.9999995529652,237.9999979436398,vertical_axis,0.0,17
13801,135.0,379.0,236.0,235.0,vertical_axis,0.0,19
3015,390.0,377.0,223.0,235.0,vertical_axis,0.0,15
6635,259.49999982134534,251.4999991219472,494.9999956041575,492.99999414384376,vertical_axis,-1.449588830837456e-05,13
19021,260.3360292989225,251.0148152783916,693.0,711.0,vertical_axis,45.25928221324231,4
24316,134.0,381.0,234.0,234.0,horizontal_axis,0.0,7
3475,259.49999994784594,128.000001847744,489.9999956786633,236.9999979585409,horizontal_axis,0.0,3
3476,260.9999999254942,378.4999981150031,489.9999956786633,235.99999797344208,horizontal_axis,0.0,4
12744,133.0,253.5,245.0,483.0,vertical_axis,0.0,3
1578,390.0,247.0,242.0,483.0,vertical_axis,0.0,3
24317,391.0,379.0,234.0,234.0,horizontal_axis,0.0,11
9127,256.0,252.0,495.0,238.0,horizontal_axis,0.0,3
24319,132.0,127.0,234.0,234.0,horizontal_axis,0.0,7
24318,388.0,125.0,234.0,234.0,horizontal_axis,0.0,9
31413,261.5,253.5,509.0,493.0,horizontal_axis,0.0,7
