,centerX,centerY,width_box,height_box,axis,rotation,num_labels
5283,341.5,149.0,107.0,100.0,horizontal_axis,-45.0,3
4215,123.5,65.5,47.0,131.0,vertical_axis,0.0,7
22694,185.8465134181317,222.5466587959014,87.0,245.0,horizontal_axis,12.31960886429404,7
10021,187.00000023312032,444.9999959945683,30.000003602769368,122.99999951256648,vertical_axis,0.0,20
13155,38.09349575020639,394.6727648742776,77.0,90.0,vertical_axis,-74.05460409907712,3
4216,252.35616226244176,354.52503657937416,125.0,85.0,vertical_axis,55.31875125806901,5
8921,185.2518019356812,220.2793472860521,242.99999935925007,93.00000010430811,vertical_axis,-76.7922035606577,3
15366,43.0,393.5,76.0,83.0,horizontal_axis,9.668668661083627,7
19811,123.00000111758708,64.00000286102289,43.00000233948225,126.99999959766863,horizontal_axis,0.0,3
13150,41.0,128.5,44.0,89.0,vertical_axis,0.0,3
30609,187.60526674577932,218.1480691737654,200.0,93.0,horizontal_axis,-75.91218131877716,3
